症狀,推薦穴位,來源,頁碼
尿道結石,六快穴、七快穴,董氏奇穴治療析要,
尿道結石,,董氏奇穴治療析要,
崩漏,大敦、隱白,董氏奇穴治療析要,
崩漏,"三叉一穴,肩中穴,大敦穴及隱白穴",董氏奇穴治療析要,
崩漏,,董氏奇穴治療析要,
左肩膀痛,右腎關穴，動氣針法,董氏奇穴治療析要,
異位性皮炎,駟馬穴、耳背或耳尖刺血、分枝上下穴、曲池、血海配三陰交,董氏奇穴治療析要,
後頭痛,正筋穴，尾椎（後椎穴）沖霄放血，委中刺血,董氏奇穴治療析要,
心兩側痛,通關、通山、通天（雙邊取穴，三穴選二），內關,董氏奇穴治療析要,
心口痛,通關穴、通山穴、通天穴,董氏奇穴治療析要,
心口痛,通關、通山、通天（雙邊取穴，三穴選二），四花中、外（副）點刺出血,董氏奇穴治療析要,
心悸,心門穴、心常穴、內關、神門,董氏奇穴治療析要,
心驚,膽穴,董氏奇穴治療析要,
心臟病,風市穴,董氏奇穴治療析要,
心臟病,天宗、人宗穴位,董氏奇穴治療析要,
心臟病,大間穴、心常穴；人士穴、地士穴；地宗穴；四花上穴、四花裡穴；通關穴、通山穴、通天穴,董氏奇穴治療析要,
心臟病,"心門穴, 四花中、四花外刺血, 肘彎刺血, 內關, 足三里",董氏奇穴治療析要,
心臟病,內關,董氏奇穴治療析要,
心臟病、血管硬化,地宗穴,董氏奇穴治療析要,
心臟病引起之頭痛,火主,董氏奇穴治療析要,
心臟的病,足三里,董氏奇穴治療析要,
心臟血管硬化,四花中穴、四花外穴點刺放血,董氏奇穴治療析要,
心臟問題,三通,董氏奇穴治療析要,
心臟麻痺,火硬穴,董氏奇穴治療析要,
心臟麻痺、心肌梗死、心跳過速或心驚心悸,通關、通山、通天（選二）,董氏奇穴治療析要,
心臟麻痺（急性心肌梗死）,,董氏奇穴治療析要,
心跳,小間、中間（手指）、重仙（手掌）、人士、火串、曲陵（前臂）、肩中（上臂）、火硬、火連、火菊（腳上）、四花上、四花裡（小腿）、通關、通山、通天（大腿）、州火（頭上）、胃毛（胸部）,董氏奇穴治療析要,
心跳加胸悶,心門穴,董氏奇穴治療析要,
心跳胸悶,心門穴,董氏奇穴治療析要,
心跳過速,心門穴,董氏奇穴治療析要,
怕光,花骨一穴,董氏奇穴治療析要,
急性心臟麻痺,曲陵穴、四花中穴（三稜針黑血）、後心穴（三稜針刺血）、火硬穴、火主穴,董氏奇穴治療析要,
急性肝炎,肝門穴，配腸門穴，上曲穴出血後針肝門、明黃穴,董氏奇穴治療析要,
急性肝炎,針肝門、腸門,董氏奇穴治療析要,
急性腸胃炎,四花外穴（三稜針黑血）,董氏奇穴治療析要,
急性腸胃炎,,董氏奇穴治療析要,
急性胃痛,四花上穴、正本穴、梁丘,董氏奇穴治療析要,
急性胃痛,梁丘,董氏奇穴治療析要,
急性胃痛,梁丘,董氏奇穴治療析要,
急性腰扭傷,二角明、馬金水、水通、水金、水腑穴、三江穴,董氏奇穴治療析要,
急性腰痛,二角明穴,董氏奇穴治療析要,
急性腹瀉,四花外穴、足千金穴、足五金穴；三江穴（三稜針）；腸門穴,董氏奇穴治療析要,
急性腹瀉,,董氏奇穴治療析要,
急慢性胃痛,門金穴,董氏奇穴治療析要,
性病之淋病,分枝上穴、分枝下穴,董氏奇穴治療析要,
感冒,三叉三穴配魚際（土水中）穴,董氏奇穴治療析要,
感冒,三叉三穴,董氏奇穴治療析要,
感冒,董氏奇穴土水中，及三叉三穴,董氏奇穴治療析要,
感冒,三叉三穴配土水中穴,董氏奇穴治療析要,
感冒,中渚和液門的三叉三進針,董氏奇穴治療析要,
感冒,,董氏奇穴治療析要,
感冒發燒諸症,三叉三穴、土水穴（魚際穴）,董氏奇穴治療析要,
感冒頭痛,分金穴、人宗穴,董氏奇穴治療析要,
慢性肝炎,木鬥、木留，上三黃（天黃、明黃、其黃）,董氏奇穴治療析要,
慢性肝炎,"上三黃穴, 肝門配明黃",董氏奇穴治療析要,
慢性胃病、久年胃病,四花中、外穴點刺出血；刺血後針通關、通山,董氏奇穴治療析要,
慢性胃痛,內關、四花上穴,董氏奇穴治療析要,
慢性腰痛,,董氏奇穴治療析要,
慢性腹瀉,指五金穴、指千金穴；門金穴；四花中穴（三稜針）、四花下穴、腑腸穴；水腑穴、三江穴（三稜針）；腑巢二十三穴（三稜針）,董氏奇穴治療析要,
慢性腹瀉,,董氏奇穴治療析要,
手前臂痛,火串、側三里、側下三里,董氏奇穴治療析要,
手抽筋,火陵穴、火山穴、曲陵穴、搏球穴,董氏奇穴治療析要,
手抽筋,,董氏奇穴治療析要,
"手拘攣, 四肢發抖, 帕金森病",兩肝一腎（明黃、其黃、腎關）或兩腎一肝（腎關、復溜，或者腎關、人皇，再加上面的明黃）,董氏奇穴治療析要,
手指麻（手麻）,火菊穴、人皇穴、中九里穴、腎關穴、復溜穴、九里穴、木鬥穴、木留穴、五虎一穴、側三里穴、側下三里穴,董氏奇穴治療析要,
手痛不能握物,,董氏奇穴治療析要,
手腳血管硬化,雙鳳穴刺血,董氏奇穴治療析要,
手腳麻及麻痺,,董氏奇穴治療析要,
手腕手背痛,水愈穴（三稜針出黑血），側三里、側下三里，五虎一,董氏奇穴治療析要,
手臂痛不能握物,人士穴、人宗穴、側三里、側下三里、重子、重仙穴、腎關穴,董氏奇穴治療析要,
手足麻痺,,董氏奇穴治療析要,
手麻、腳麻,雙鳳穴刺血,董氏奇穴治療析要,
打嗝,間使、上裡穴（攢竹）,董氏奇穴治療析要,
打嗝,上裡及攢竹,董氏奇穴治療析要,
扳機指,五虎一穴，瀉曲陵，外關；井穴點刺,董氏奇穴治療析要,
扳機指,針五虎一，配合曲陵瀉針；在發生扳機指的手指井穴點刺,董氏奇穴治療析要,
扳機指,,董氏奇穴治療析要,
抬腿無力,肩中穴,董氏奇穴治療析要,
抬膝無力,火主,董氏奇穴治療析要,
指關節痛,五虎一（健側為治療針，患側為牽引針），人士穴，側三里、側下三里,董氏奇穴治療析要,
支氣管炎,"小間、重子、火腑海, 水金、水通, 曲陵、土水, 老慢支加腎關、靈骨",董氏奇穴治療析要,
散光,,董氏奇穴治療析要,
早洩,地皇穴、人皇穴；腎關,董氏奇穴治療析要,
昏迷,火硬、火主、十二井穴放血、人中、內關、太沖穴,董氏奇穴治療析要,
昏迷,,董氏奇穴治療析要,
月經不調,"婦科、還巢, 配合靈骨穴",董氏奇穴治療析要,
橈骨莖突腱鞘炎,五虎一穴為主，腎關、側三里等,董氏奇穴治療析要,
橈骨莖突腱鞘炎,,董氏奇穴治療析要,
梅核氣,足五金穴、足千金穴，火主穴，太沖,董氏奇穴治療析要,
梅核氣,,董氏奇穴治療析要,
夢遺,地皇穴,董氏奇穴治療析要,
歡骨疼痛,,董氏奇穴治療析要,
死胎不下,水腑穴，內庭、至陰、火包穴,董氏奇穴治療析要,
氣喘,未提及具體穴位或對針,董氏奇穴治療析要,
氣喘,土水穴,董氏奇穴治療析要,
氣喘,重子穴（小孩最有效）、火腑海穴、人士穴、地士穴、天士穴、曲陵穴、人宗穴，州圓穴、州昆穴、州侖穴,董氏奇穴治療析要,
氣喘,土水中（魚際）配水通,董氏奇穴治療析要,
氣喘,,董氏奇穴治療析要,
氣喘（發作時間與心包經有關）,大陵,董氏奇穴治療析要,
氣喘（發作時間與膽經有關）,足臨泣,董氏奇穴治療析要,
氣喘（肺相關病症）,太淵,董氏奇穴治療析要,
氣滯疼痛,太沖、門金、陷谷,董氏奇穴治療析要,
氣虛疼痛,駟馬、靈骨、大白、鼻翼,董氏奇穴治療析要,
氣血錯亂,解穴、手解穴,董氏奇穴治療析要,
氣喘,未提供具體穴位或對針建議,董氏奇穴治療析要,
氣喘,四花上、四花中、四花外、十二猴穴、喉蛾九穴、金五穴,董氏奇穴治療析要,
氣虛疼痛,,董氏奇穴治療析要,
水腫,中白穴配臨泣,董氏奇穴治療析要,
水腫,水分、氣海、復溜、陰陵泉、通腎、天皇,董氏奇穴治療析要,
治酒醉急症,火包穴,董氏奇穴治療析要,
流眼淚、出汗多、鼻涕多,木穴,董氏奇穴治療析要,
流鼻血及鼻塞,肩中穴,董氏奇穴治療析要,
流鼻血（鼻衄）,肩中穴、搏球穴、腕順二穴、火主穴、六完穴、行間穴、少商刺血,董氏奇穴治療析要,
流鼻血（鼻衄）,,董氏奇穴治療析要,
浮腫,通腎、通胃、通背,董氏奇穴治療析要,
消化不良,木鬥、木留,董氏奇穴治療析要,
消化性潰瘍（胃、十二指腸潰瘍）,四花中、外穴點刺，解溪穴至門金穴一帶青筋點刺，梁丘抑制胃酸分泌,董氏奇穴治療析要,
淋病,地皇穴、人皇穴、通腎穴、通胃穴、通背穴,董氏奇穴治療析要,
淋病,,董氏奇穴治療析要,
溼熱黃疸,腕骨、董氏奇穴肝門穴,董氏奇穴治療析要,
溼疹,駟馬穴、耳背或耳尖刺血、手解穴,董氏奇穴治療析要,
溼疹,,董氏奇穴治療析要,
滑精,地皇穴、人皇穴,董氏奇穴治療析要,
濕邪致痛,扎跟溼有關的穴位，以土的穴位為主,董氏奇穴治療析要,
熱邪致痛,,董氏奇穴治療析要,
牙痛,浮間穴、外間穴；四花上穴、四花外穴、側三里穴、側下三里穴,董氏奇穴治療析要,
牙齒酸,下白穴,董氏奇穴治療析要,
牛皮癬,駟馬上中下穴，耳背或耳尖刺血（維杰特殊經驗），肩中穴（如果牛皮癬比較多地長在肩膀、脖子一帶）,董氏奇穴治療析要,
牛皮癬,,董氏奇穴治療析要,
特瘡,委中穴刺血，商丘、承山針刺有效,董氏奇穴治療析要,
狐臭,天宗穴、李白穴；分枝上穴、分枝下穴,董氏奇穴治療析要,
甲狀腺眼突,一重穴、二重穴、三重穴，或足千金、足五金，下三皇,董氏奇穴治療析要,
甲狀腺眼突,,董氏奇穴治療析要,
甲狀腺腫大,一重穴、二重穴、三重穴，足千金、足五金，駟馬穴，三重刺血,董氏奇穴治療析要,
甲狀腺腫大,,董氏奇穴治療析要,
"疝氣, 陽痿",大敦,董氏奇穴治療析要,
疝氣,大間、小間、外間、浮間,董氏奇穴治療析要,
疝氣,大間、小間、外間、中間、浮間穴任意選二三穴針刺，配合特效穴大敦做牽引,董氏奇穴治療析要,
疲勞,,董氏奇穴治療析要,
疲勞過度,灸火腑海穴,董氏奇穴治療析要,
疼痛,針遠處的特效穴位，並讓疼痛的地方活動,董氏奇穴治療析要,
病毒性心肌炎,,董氏奇穴治療析要,
癢症（如蕁麻疹）,風市穴,董氏奇穴治療析要,
痛症,風市穴,董氏奇穴治療析要,
痛症,治療學中未提供具體穴位或對針建議,董氏奇穴治療析要,
痛經,門金穴、婦科穴、還巢穴、木婦穴、承漿穴、內庭穴,董氏奇穴治療析要,
痛經,承山穴、正筋穴,董氏奇穴治療析要,
痛經,"承漿,婦科、還巢",董氏奇穴治療析要,
痰飲疼痛,,董氏奇穴治療析要,
瘀血疼痛,,董氏奇穴治療析要,
瘰癧,承扶、秩邊,董氏奇穴治療析要,
瘰癧,三重、六完，承扶、秩邊,董氏奇穴治療析要,
瘰癧,承扶、秩邊,董氏奇穴治療析要,
瘰癧,,董氏奇穴治療析要,
癲癇,天皇副穴（腎關）、金前上、金前下、火枝、火全合用、後溪、間使,董氏奇穴治療析要,
癲癇,,董氏奇穴治療析要,
白內障,水相穴、水仙穴、光明穴、腎關配光明或太溪,董氏奇穴治療析要,
白細胞過多,上三黃、木留穴,董氏奇穴治療析要,
白細胞過多,,董氏奇穴治療析要,
白細胞過少,木留穴，明黃穴，天黃穴，其黃穴,董氏奇穴治療析要,
白細胞過少,,董氏奇穴治療析要,
皮膚敏感,金前上穴、金前下穴，隔日針駟馬穴，每週在耳尖或者耳背點刺一次,董氏奇穴治療析要,
皮膚敏感,,董氏奇穴治療析要,
皮膚病,,董氏奇穴治療析要,
皮膚病變或神經感覺差,梅花針輕輕敲擊皮膚,董氏奇穴治療析要,
皮膚癢,耳尖刺血，手解穴,董氏奇穴治療析要,
目乾澀（千眼症）,,董氏奇穴治療析要,
目赤（結膜炎、角膜炎）,,董氏奇穴治療析要,
真心痛（心絞痛）,火包穴點刺出血，肘彎（曲澤、尺澤一帶）點刺出血，地宗,董氏奇穴治療析要,
真性紅細胞過多,土耳穴,董氏奇穴治療析要,
眩暈,中白穴（鬼門穴）、火腑海穴、富頂穴、後枝穴、支通穴、落通穴、火硬穴、火菊穴、火散穴、天皇副穴（腎關）、通關穴、通山穴、通天穴、後會穴、水金穴、水通穴,董氏奇穴治療析要,
眼發紅,駟馬中穴、駟馬上穴、駟馬下穴,董氏奇穴治療析要,
眼發黃,眼黃穴,董氏奇穴治療析要,
眼斜嘴歪,正會穴,董氏奇穴治療析要,
眼球歪斜及複視（視一為二）,"腎關配光明, 下三皇, 太陽穴點刺出血",董氏奇穴治療析要,
眼球突出,一重、二重、三重,董氏奇穴治療析要,
眼病（青光眼、飛蚊症）,動氣針法，扎針後讓病人動眼球,董氏奇穴治療析要,
眼皮睜不開,三叉三配門金,董氏奇穴治療析要,
眼皮跳動的病變,後溪,董氏奇穴治療析要,
眼睛乾澀,明黃、光明（復溜）、木穴,董氏奇穴治療析要,
眼睛痛,耳尖點刺，針太沖,董氏奇穴治療析要,
眼紅腫及頭風,太陽穴刺血,董氏奇穴治療析要,
眼角痛（角膜炎）,大間穴、小間穴、海豹穴、火散穴、花骨一穴,董氏奇穴治療析要,
眼角紅,肝俞點刺出血,董氏奇穴治療析要,
眼迎風流淚,花骨一穴，木穴,董氏奇穴治療析要,
睡中咬牙,四花下穴、腑腸穴、耳尖放血,董氏奇穴治療析要,
睪丸炎,內踝到三陰交一帶點刺出血（放血），針大間、小間、中間、浮間。,董氏奇穴治療析要,
睪丸炎,,董氏奇穴治療析要,
神志突變,井穴,董氏奇穴治療析要,
神經衰弱,火主穴、土耳穴、前會穴、正會、下三皇,董氏奇穴治療析要,
神經衰弱,,董氏奇穴治療析要,
神經衰弱失眠,下三皇穴配鎮靜穴,董氏奇穴治療析要,
類風溼關節炎,五虎穴，腎關，通關、通山穴,董氏奇穴治療析要,
精神病,天皇副穴（腎關）、鎮靜穴（皮下針）、正會、正本、火膝穴,董氏奇穴治療析要,
精神病,,董氏奇穴治療析要,
糖尿病,腎關穴,董氏奇穴治療析要,
糖尿病,天皇、腎關、水相穴,董氏奇穴治療析要,
糖尿病,天皇、通胃、通腎、通背；天皇、腎關、水相合用；下三皇（有口渴嚴重的狀況時加通腎穴）；承漿、陽池穴,董氏奇穴治療析要,
結膜炎,針刺曲池，配合谷,董氏奇穴治療析要,
網球肘,曲池穴往後貼肘骨,董氏奇穴治療析要,
網球肘,對側的曲後一針，加上火腑海一針，同側的大白或靈骨做牽引,董氏奇穴治療析要,
網球肘,曲後穴（健側），靈骨穴（患側）,董氏奇穴治療析要,
網球肘、肱骨外上髁炎,腑海穴配曲後,董氏奇穴治療析要,
耳中蟬噪有聲,聽會,董氏奇穴治療析要,
耳內脹,曲陵、中白穴，三叉三穴，水曲穴、中九里穴,董氏奇穴治療析要,
耳內脹,,董氏奇穴治療析要,
耳朵痛,側三里、側下三里，三重、四花外穴同時點刺放血，三叉三穴，聽會作牽引針,董氏奇穴治療析要,
耳朵痛,,董氏奇穴治療析要,
耳鳴,駟馬穴，靈骨穴，花骨一六，駟馬中穴、駟馬上穴、駟馬下穴，無名穴（外踝周圍）瀉血，腎關穴，中九里穴，三叉三穴，中白穴，腕順一、二穴,董氏奇穴治療析要,
耳鳴,,董氏奇穴治療析要,
聾啞,靈骨穴、駟馬上中下穴，配合三重刺血或總樞穴刺血。失音穴輔助針,董氏奇穴治療析要,
聾啞,,董氏奇穴治療析要,
聲音沙啞,間使,董氏奇穴治療析要,
肌痺,"合谷、曲池、手三里、足三里, 大腿駟馬穴, 肩膀的穴位等肉多的部位來治肌萎縮",董氏奇穴治療析要,
肌肉萎縮,指三重穴,董氏奇穴治療析要,
肌肉萎縮，肌肉無力,駟馬穴,董氏奇穴治療析要,
肘關節痛,,董氏奇穴治療析要,
肘有病,側三里、側下三里,董氏奇穴治療析要,
肚子痛,束骨,董氏奇穴治療析要,
肚臍周圍痛,腑巢二十三穴（三稜針）、腕順一、二穴，中白、下白,董氏奇穴治療析要,
肚臍周圍痛,,董氏奇穴治療析要,
肚臍痛,曲池穴,董氏奇穴治療析要,
肛門部脹痛或刺痛，異物感或下墜感，便後有腫塊脫出肛門，大便帶血或便後帶血。,針其門穴、其角穴、其正穴,董氏奇穴治療析要,
肝炎,,董氏奇穴治療析要,
肝病,木鬥、木留，上三黃（天黃、明黃、其黃）,董氏奇穴治療析要,
肝硬化,木炎穴，上曲穴（三稜針），明黃穴，天黃穴，其黃穴，四花中、外穴點刺出血再針上三黃穴，或紮了上三黃後點刺出血,董氏奇穴治療析要,
肝硬化,,董氏奇穴治療析要,
肝臟問題,上三黃,董氏奇穴治療析要,
肝脾不和,門金,董氏奇穴治療析要,
肝衰弱與肝機能不夠引起之疲勞,木耳穴、明黃穴、天黃穴、其黃穴,董氏奇穴治療析要,
肩關節周圍炎（凍結肩）,四花上、四花中、花骨二穴、肩中、腎關、足千金、足五金、曲陵穴,董氏奇穴治療析要,
肩關節扭傷,方法可比擬前項“肩臂不能舉”,董氏奇穴治療析要,
肩關節扭傷,,董氏奇穴治療析要,
肩峰痛,通腎、通胃、通背穴，九里、側下三里穴，重子、重仙，腎關穴,董氏奇穴治療析要,
肩峰痛,通腎、通胃、通背三穴，九里穴、側下三里穴，重子、重仙,董氏奇穴治療析要,
肩峰痛,,董氏奇穴治療析要,
肩痛,"肩中穴, 七虎穴, 腎關、九里穴",董氏奇穴治療析要,
肩痛,,董氏奇穴治療析要,
肩背痛,重子、重仙穴，通腎、通胃、通背穴，腎關穴，髀關穴,董氏奇穴治療析要,
肩背痛,,董氏奇穴治療析要,
肩膀不能側伸及後伸,針對側足五金穴主，痛點在陽明經就針陽明的輸穴，在少陽經就針少陽的輸穴,董氏奇穴治療析要,
肩膀痛,陽陵泉配腎關,董氏奇穴治療析要,
肩臂不能舉（肩關節周圍炎、五十肩）,,董氏奇穴治療析要,
肩連背痛,正士穴、足千金穴、足五金穴；雙河穴（三稜針）,董氏奇穴治療析要,
肩頸痛,,董氏奇穴治療析要,
肺炎,土水穴（魚際穴）,董氏奇穴治療析要,
肺炎,重子、重仙治肺炎，配大白穴刺血,董氏奇穴治療析要,
肺炎,,董氏奇穴治療析要,
肺的病,足三里,董氏奇穴治療析要,
肺部疾病,駟馬三穴,董氏奇穴治療析要,
腎虧之各病,腕順一穴、腕順二穴,董氏奇穴治療析要,
腎虧之頭暈腰痛,通腎穴、通胃穴、通背穴,董氏奇穴治療析要,
腎機能不夠之疲勞,水通穴、水金穴,董氏奇穴治療析要,
腎炎,,董氏奇穴治療析要,
腎結石,水愈穴、馬金水穴、下白穴,董氏奇穴治療析要,
腎結石,,董氏奇穴治療析要,
腎絞痛與腎結石,下白穴、馬金水,董氏奇穴治療析要,
腎虛腰痛,,董氏奇穴治療析要,
脅部脹痛走竄不定，其痛每因情志變動而增劇，兼納少、胸悶等症者,肝氣鬱結，建議穴位或對針：駟馬穴、四花外穴（三稜針黑血）、七虎穴,董氏奇穴治療析要,
胃炎,門金穴、四花上,董氏奇穴治療析要,
胃疼,梁丘,董氏奇穴治療析要,
胃痙攣導致的疼痛,承山穴、正筋穴,董氏奇穴治療析要,
胃痛,內關,董氏奇穴治療析要,
胃痛,內關,董氏奇穴治療析要,
胃痛,束骨,董氏奇穴治療析要,
胃脘痛,浮間穴、外間穴；花骨四穴；四花下穴、腑腸穴；四花中穴（三稜針黑血）、四花副穴（三稜針黑血）；五嶺穴（三稜針）,董氏奇穴治療析要,
胃脘脹痛、胃痙攣,正本穴,董氏奇穴治療析要,
胃酸反流,天皇穴、天皇副穴倒馬，門金，嚴重時總樞穴點刺放血,董氏奇穴治療析要,
胃酸過多,天皇穴、腎關穴,董氏奇穴治療析要,
膽囊炎,"火枝、火全配其黃, 木枝, 七里、九里, 下白特效；手門金亦效",董氏奇穴治療析要,
膽囊炎,,董氏奇穴治療析要,
膽病,木鬥、木留，上三黃（天黃、明黃、其黃），火枝、火全,董氏奇穴治療析要,
膽石症,中上或上腹部絞痛，可用膽囊穴、下白穴、手門金、內白穴、手木留,董氏奇穴治療析要,
膽石症,,董氏奇穴治療析要,
膽結石,木枝穴、火全穴、火枝穴、其黃穴、下白穴、九里穴、七里穴,董氏奇穴治療析要,
背痛,重子穴、重仙穴,董氏奇穴治療析要,
背痛,腰部以下的雙河穴刺血,董氏奇穴治療析要,
背痛,"靈骨, 重子穴, 重仙穴",董氏奇穴治療析要,
背痛,通天、通背穴，駟馬穴,董氏奇穴治療析要,
背痛,,董氏奇穴治療析要,
背痛、腰痛向腿部放射,馬快水穴,董氏奇穴治療析要,
背脊畸形（脊柱側彎）,針明黃、其黃、天黃，灸脾俞跟肝俞,董氏奇穴治療析要,
背脊畸形（脊柱側彎）,,董氏奇穴治療析要,
背連下腿痛,馬快水穴,董氏奇穴治療析要,
背連下腿痛,,董氏奇穴治療析要,
胎衣不下,針火包穴、火硬穴,董氏奇穴治療析要,
胸乳痛,七虎穴、駟馬穴、門金穴,董氏奇穴治療析要,
胸背疾病,重子、重仙,董氏奇穴治療析要,
胸腹側痛,駟馬中穴、駟馬上穴、駟馬下穴，上白，通關、通山，內關,董氏奇穴治療析要,
胸腹部中央線是任脈的痛,水相穴（太溪）,董氏奇穴治療析要,
胸連背痛,駟馬穴、重子穴、腎關穴、上白穴,董氏奇穴治療析要,
胸部打傷,駟馬穴，四花中、外點刺出血，解穴,董氏奇穴治療析要,
胸部打傷、全身痠痛,解穴,董氏奇穴治療析要,
胸悶,小間穴、中間穴；四花中穴（三稜針）；火陵穴、火山穴；天士穴；心門穴,董氏奇穴治療析要,
脂肪瘤,明黃、外三關穴、四花外,董氏奇穴治療析要,
脊椎中央痛,,董氏奇穴治療析要,
"脊椎中央痛, 腰椎痛","正筋穴, 正宗穴",董氏奇穴治療析要,
脊椎壓痛,,董氏奇穴治療析要,
脊椎壓痛（椎間盤突出的壓痛）,委中穴點刺出血，配合針明黃更佳,董氏奇穴治療析要,
脊椎扭挫傷（脊椎骨閃痛）,,董氏奇穴治療析要,
脊椎病,首英、後枝穴位,董氏奇穴治療析要,
脊椎長芽骨（脊椎骨膜炎）,針明黃穴、天黃穴、其黃穴；復原穴；靈骨穴；四花中穴、四花副穴；火硬穴、火主穴,董氏奇穴治療析要,
脊椎骨刺,,董氏奇穴治療析要,
脊椎骨疼痛,"肺心穴, 水相穴, 水仙穴, 花骨三穴, 花骨四穴",董氏奇穴治療析要,
脊椎骨閃痛,正筋穴、正宗穴,董氏奇穴治療析要,
脊椎骨骼脹大、頸椎及腰椎骨刺,九里穴，若再加一個倒馬針，可加針下兩寸的七里穴,董氏奇穴治療析要,
腦瘤,上瘤穴、正筋穴、州侖穴、火連、火菊、火散（六倒馬一起用）,董氏奇穴治療析要,
腦瘤,,董氏奇穴治療析要,
腦神經痛,上瘤,董氏奇穴治療析要,
腦積水,上瘤穴、正筋穴、正宗穴,董氏奇穴治療析要,
腦積水,,董氏奇穴治療析要,
腦膜炎,火連、火菊、火散；一重穴、二重穴、三重穴,董氏奇穴治療析要,
腦膜炎,,董氏奇穴治療析要,
腦貧血引起的頭暈,通關、通山、通天或中白、腎關,董氏奇穴治療析要,
脖子病,列缺穴,董氏奇穴治療析要,
脖子病痛,崑崙、正筋、正宗,董氏奇穴治療析要,
脖頸痛、脖子痛、頸項神經痛、項痛、頸項痛、項骨正中脹痛、頸項疼痛扭 轉不靈,正筋穴、正宗穴,董氏奇穴治療析要,
腳、腳趾、腳踝疾病,五虎穴,董氏奇穴治療析要,
腳抽筋,承山穴、正筋穴,董氏奇穴治療析要,
腳抽筋（腿轉筋）,,董氏奇穴治療析要,
腳痛,靈骨穴，手五金穴，手千金穴，人宗穴，火菊穴,董氏奇穴治療析要,
腳痛,,董氏奇穴治療析要,
腳趾痛,五虎三穴,董氏奇穴治療析要,
腳趾痛,,董氏奇穴治療析要,
腳趾麻,五虎三穴、下三皇穴,董氏奇穴治療析要,
腳趾麻,,董氏奇穴治療析要,
腳踝扭傷,中白穴、下白穴（早期有效）、小節穴、五虎四、五虎五、委中穴點刺出血,董氏奇穴治療析要,
腳踝扭傷,,董氏奇穴治療析要,
臉腫及全身腫,通腎、通胃、通背穴,董氏奇穴治療析要,
臉部麻痺,側三里穴、側下三里穴,董氏奇穴治療析要,
臉面黑斑,指駟馬穴,董氏奇穴治療析要,
脾腫大,木鬥、木留,董氏奇穴治療析要,
脾腫大,脾腫穴、人宗穴、木鬥穴、木留穴、明黃穴、天黃穴、一重穴、二重穴、三重穴,董氏奇穴治療析要,
脾腫大,,董氏奇穴治療析要,
脾臟問題,下三皇,董氏奇穴治療析要,
腕關節痛，尤其是腕管綜合徵,側三里、側下三里、腎關穴,董氏奇穴治療析要,
腰扭傷,針刺入跟腱那個大筋,董氏奇穴治療析要,
腰扭傷、脊椎扭傷,正筋、正宗有效，取搏球也有效。委中穴點刺特效。七里、九里。十四經效穴：人中、崑崙或人中、後溪,董氏奇穴治療析要,
腰椎骨刺,人中、後溪、束骨、靈骨、大白,董氏奇穴治療析要,
腰痛,心門配中白,董氏奇穴治療析要,
腰痛,中白穴、腎臟線穴位（如陽溪、陽池、養老）、三叉一、三叉二、三叉三,董氏奇穴治療析要,
腰痛,人中、馬金水,董氏奇穴治療析要,
腰痛,靈骨穴,董氏奇穴治療析要,
腰痠,中白穴、下白穴,董氏奇穴治療析要,
腰痠背痛,水腑穴、搏球穴,董氏奇穴治療析要,
腰骶疼痛,腎虛：貼骨取穴；血瘀：委中刺血；溼熱：清熱利溼,董氏奇穴治療析要,
腱鞘囊腫,解溪穴用毫針從中央刺進一針，再從旁邊刺一針,董氏奇穴治療析要,
腹中痛瀉,太沖,董氏奇穴治療析要,
腹中絞痛（絞腸痧）,腑巢二十三穴點刺，四花中、外刺血,董氏奇穴治療析要,
腹中絞痛（絞腸痧）,,董氏奇穴治療析要,
腹瀉,腸門,董氏奇穴治療析要,
腹瀉,陰陵泉配曲池,董氏奇穴治療析要,
腹痛,腑快穴，指五金、指千金穴；手五金穴、手千金穴，門金元，火菊，四花上穴，四花中穴（三稜針黑血），梁丘、內關、公孫,董氏奇穴治療析要,
腹痛,,董氏奇穴治療析要,
腿冷痛,"木火穴, 肩中穴及九里穴, 雙鳳穴點刺出血, 通天、通胃穴, 靈骨、大白",董氏奇穴治療析要,
腿腫,通天穴,董氏奇穴治療析要,
腿轉筋（小腿肚抽筋）,搏球穴；正筋穴；次白穴；肝門,董氏奇穴治療析要,
腿軟無力,肩中、通天穴特效，木枝穴效亦佳，水金或水通穴亦效，木火穴,董氏奇穴治療析要,
腿痠軟及發脹,正會、鎮靜；火腑海、水愈,董氏奇穴治療析要,
膀胱結石,馬快水穴、下白穴,董氏奇穴治療析要,
膀胱結石,,董氏奇穴治療析要,
膝痛,火主配心門或內關配太沖,董氏奇穴治療析要,
膝痛,內關,董氏奇穴治療析要,
膝痛,心門穴,董氏奇穴治療析要,
膝痛,木火穴，膽穴及肩中穴，心門配火主，內關,董氏奇穴治療析要,
膝痛,內關配太沖，心門配火主,董氏奇穴治療析要,
膝蓋痛,心門、曲池,董氏奇穴治療析要,
膝蓋痛,內關,董氏奇穴治療析要,
膝蓋痛,背部的三金穴（第三椎、第四椎、第五椎旁開3寸取穴）,董氏奇穴治療析要,
膝蓋痛,內關，對側的太沖或行間作牽引；心門，加一針太沖或行間牽引針。一般痛加行間或者奇穴火硬，骨頭痛用太沖穴再稍後貼骨的火主,董氏奇穴治療析要,
膝蓋痛,背後三金穴刺血,董氏奇穴治療析要,
